0.0801, 2.8507e6, 5.0665e5, 4.6357e5
4.0845, 3.9101e6, 1.2879e6, 1.2455e6
8.089, 5.4551e6, 1.4567e6, 1.5834e6
12.0934, 5.4164e6, 1.5413e6, 1.562e6
16.0178, 6.539e6, 1.8154e6, 1.8365e6
20.663, 5.1283e6, 2.1958e6, 2.1748e6
24.7475, 6.3144e6, 3.1247e6, 3.2303e6
28.0311, 5.9583e6, 1.9214e6, 1.9214e6
32.0356, 7.5033e6, 1.2035e6, 1.2456e6
36.2002, 6.8524e6, 3.2515e6, 3.2303e6
40.2046, 8.3762e6, 3.6954e6, 3.759e6
44.3693, 1.0259e7, 2.8081e6, 2.787e6
48.0534, 8.0453e6, 2.323e6, 2.3228e6
52.0578, 8.6401e6, 8.445e5, 8.6562e5
56.1424, 8.6437e6, 1.0982e6, 1.0983e6
60.1468, 9.3229e6, 2.5334e6, 2.5335e6
67.1146, 8.2099e6, 1.6471e6, 1.6259e6
72.5606, 1.0284e7, 9.0771e5, 9.0771e5
