0.0801, 5.2369e6, 6.9824e5, 8.0326e5
4.1646, 5.7684e6, 9.2967e5, 9.7169e5
7.9287, 5.835e6, 5.7281e5, 6.5629e5
12.0934, 4.8462e6, 1.1618e6, 8.8758e5
16.2581, 4.7021e6, 1.0978e6, 1.0348e6
20.663, 4.2836e6, 1.3092e6, 1.33e6
24.9077, 3.675e6, 1.9007e6, 1.8795e6
28.1112, 3.4667e6, 1.9235e6, 1.9024e6
32.0356, 3.3857e6, 1.6266e6, 2.0488e6
36.2002, 2.1435e6, 1.0776e6, 1.0773e6
40.2046, 1.6824e6, 5.4979e5, 6.3433e5
44.2892, 1.1792e6, 5.4902e5, 5.279e5
47.9733, 9.7132e5, 3.8009e5, 4.6441e5
51.9778, 8.9038e5, 2.3291e5, 2.3263e5
56.1424, 9.5739e5, 1.2705e5, 84746.4167
60.1468, 7.9198e5, 1.4781e5, 3.166e5
67.1947, 7.3484e5, 1.2641e5, 2.7451e5
72.6407, 6.5516e5, 2.7472e5, 3.3842e5
